index,x,y,z,clearance,risk_cost,required_clearance,narrow_passage,stair_or_drop_edge
0,1.000000,2.500000,0.000000,0.632384,0.000000,0.320000,0,0
1,1.002933,2.698855,0.016855,0.827963,0.000000,0.320000,0,0
2,0.983527,2.889945,0.019335,0.750821,0.000000,0.320000,0,0
3,0.907367,3.058303,0.015236,0.604581,0.000000,0.320000,0,0
4,0.780926,3.205846,0.014468,0.492268,0.007381,0.320000,0,0
5,0.639659,3.347114,0.015182,0.418173,0.826617,0.320000,0,0
6,0.498521,3.488251,0.012465,0.427582,0.647445,0.320000,0,0
7,0.379327,3.638220,0.014438,0.497080,0.001052,0.320000,0,0
8,0.349177,3.797851,0.016747,0.531042,0.000000,0.320000,0,0
9,0.402673,3.960236,0.021543,0.504079,0.000000,0.320000,0,0
10,0.440820,4.133433,0.042282,0.456787,0.230542,0.320000,0,0
11,0.464977,4.307517,0.048853,0.471981,0.096921,0.320000,0,0
12,0.520987,4.472077,0.030659,0.494177,0.004186,0.320000,0,0
13,0.569977,4.646719,0.016728,0.473823,0.084594,0.320000,0,0
14,0.583966,4.839614,0.013320,0.504659,0.000000,0.320000,0,0
15,0.611626,5.027872,0.010729,0.550288,0.000000,0.320000,0,0
16,0.702287,5.190254,0.006605,0.562192,0.000000,0.320000,0,0
17,0.835732,5.334571,0.008375,0.583803,0.000000,0.320000,0,0
18,0.976514,5.475354,0.015926,0.656640,0.000000,0.320000,0,0
19,1.117398,5.616238,0.020036,0.775214,0.000000,0.320000,0,0
20,1.270541,5.728440,0.023820,0.777952,0.000000,0.320000,0,0
21,1.450056,5.776452,0.031266,0.681814,0.000000,0.320000,0,0
22,1.646358,5.782806,0.038901,0.580750,0.000000,0.320000,0,0
23,1.845327,5.782806,0.040729,0.425576,0.246177,0.200000,1,0
24,2.035903,5.761489,0.034902,0.279684,2.157290,0.200000,1,0
25,2.212195,5.705172,0.026949,0.242020,2.957935,0.200000,1,0
26,2.391528,5.656489,0.020351,0.320568,1.430932,0.200000,1,0
27,2.577914,5.660607,0.020666,0.428653,0.226239,0.200000,1,0
28,2.729918,5.739041,0.023421,0.508202,0.000000,0.320000,0,0
29,2.835434,5.880540,0.023317,0.558972,0.000000,0.320000,0,0
30,2.920406,6.044879,0.022530,0.543264,0.000000,0.320000,0,0
31,3.000848,6.210938,0.020189,0.554547,0.000000,0.320000,0,0
32,3.073074,6.380570,0.019140,0.597188,0.000000,0.320000,0,0
33,3.104745,6.567145,0.017713,0.583624,0.000000,0.320000,0,0
34,3.141154,6.751148,0.006907,0.592643,0.000000,0.320000,0,0
35,3.246004,6.905709,-0.002957,0.667985,0.000000,0.320000,0,0
36,3.349596,7.060454,0.006298,0.508378,0.000000,0.320000,0,0
37,3.364822,7.233390,0.029481,0.452381,0.279948,0.320000,0,0
38,3.327888,7.393592,0.069517,0.505811,0.000000,0.320000,0,0
39,3.329243,7.534743,0.135387,0.439646,0.449709,0.320000,0,0
40,3.346946,7.675992,0.217728,0.427255,0.653320,0.320000,0,0
41,3.326047,7.815180,0.304494,0.437501,0.482236,0.320000,0,0
42,3.336630,7.943930,0.394584,0.510658,0.000000,0.320000,0,0
43,3.411743,8.069359,0.478386,0.430078,0.603594,0.320000,0,0
44,3.453461,8.199855,0.531956,0.423952,0.713982,0.320000,0,0
45,3.459413,8.327030,0.584862,0.299003,1.795555,0.200000,1,0
46,3.496257,8.457252,0.677663,0.491677,0.008552,0.320000,0,0
47,3.536500,8.609652,0.774010,0.519316,0.000000,0.320000,0,0
48,3.584204,8.766011,0.851997,0.446793,0.125819,0.200000,1,0
49,3.655825,8.911287,0.929861,0.392947,1.414847,0.320000,0,0
50,3.727446,9.053396,1.014650,0.356696,0.912715,0.200000,1,0
51,3.783206,9.202719,1.105622,0.267708,2.398206,0.200000,1,0
52,3.803966,9.367325,1.198431,0.350134,0.998208,0.200000,1,0
53,3.828351,9.524405,1.300708,0.440536,0.157156,0.200000,1,0
54,3.887735,9.668956,1.402959,0.285187,2.050877,0.200000,1,0
55,3.961708,9.816170,1.493060,0.408505,0.372057,0.200000,1,0
56,4.055409,9.949560,1.591163,0.257257,2.618852,0.200000,1,0
57,4.161566,10.060406,1.713967,0.313642,1.543529,0.200000,1,0
58,4.263220,10.162060,1.852295,0.244901,1007509.867072,0.320000,0,0
59,4.373829,10.272669,1.953733,0.169751,1003024.919033,0.200000,1,0
60,4.504768,10.403097,1.985212,0.072161,1012783.862352,0.200000,1,0
61,4.655381,10.497749,1.980317,0.026205,1017379.503772,0.200000,1,0
62,4.812683,10.479600,1.971043,0.038754,1016124.614403,0.200000,1,0
63,4.948768,10.378005,2.006366,0.034843,1016515.690535,0.200000,1,0
64,5.026157,10.248225,2.084589,0.133516,1006648.350954,0.200000,1,0
65,5.010641,10.097715,2.148831,0.151378,1004862.214327,0.200000,1,0
66,4.950271,9.940168,2.219309,0.131326,1006867.421865,0.200000,1,0
67,4.923966,9.775679,2.314624,0.148617,1005138.255358,0.200000,1,0
68,4.901296,9.613170,2.416610,0.162355,1003764.511347,0.200000,1,0
69,4.843626,9.463437,2.506314,0.142343,1005765.735805,0.200000,1,0
70,4.827030,9.311639,2.548559,0.147220,1005277.970135,0.200000,1,0
71,4.904456,9.168434,2.573685,0.266399,2.425314,0.200000,1,0
72,5.002746,9.034136,2.635772,0.304655,1.695990,0.200000,1,0
73,5.049659,8.880672,2.712258,0.445624,0.131412,0.200000,1,0
74,5.022305,8.718431,2.780273,0.322441,1.401210,0.200000,1,0
75,4.955636,8.573457,2.863233,0.418780,0.293186,0.200000,1,0
76,4.917260,8.432533,2.974231,0.392658,0.512102,0.200000,1,0
77,4.875553,8.280774,3.071105,0.403437,1.151165,0.320000,0,0
78,4.812260,8.121993,3.139342,0.404110,0.408664,0.200000,1,0
79,4.767029,7.962398,3.218762,0.404447,0.405794,0.200000,1,0
80,4.715092,7.811461,3.313853,0.380738,0.632154,0.200000,1,0
81,4.641933,7.666055,3.405497,0.319781,1.443502,0.200000,1,0
82,4.568774,7.518419,3.490553,0.288178,1.994162,0.200000,1,0
83,4.542523,7.370386,3.571894,0.298520,1002148.018003,0.320000,0,0
84,4.586272,7.220638,3.650161,0.394766,1.367176,0.320000,0,0
85,4.625325,7.055804,3.703584,0.476112,0.070450,0.320000,0,0
86,4.587170,6.885482,3.713843,0.518321,0.000000,0.320000,0,0
87,4.472377,6.741095,3.711843,0.540890,0.000000,0.320000,0,0
88,4.312472,6.650597,3.721636,0.554705,0.000000,0.320000,0,0
89,4.125640,6.622806,3.728200,0.542528,0.000000,0.320000,0,0
90,3.926476,6.622806,3.722977,0.560057,0.000000,0.320000,0,0
91,3.737347,6.598940,3.718564,0.632312,0.000000,0.320000,0,0
92,3.573045,6.516067,3.723480,0.759145,0.000000,0.320000,0,0
93,3.427784,6.386624,3.724836,0.915638,0.000000,0.320000,0,0
94,3.286792,6.245632,3.715310,0.814698,0.000000,0.320000,0,0
95,3.145705,6.104545,3.706672,0.716242,0.000000,0.320000,0,0
96,3.005104,5.963943,3.699480,0.635917,0.000000,0.320000,0,0
97,2.865186,5.824025,3.688353,0.523340,0.000000,0.320000,0,0
98,2.714774,5.708614,3.685482,0.425090,0.692776,0.320000,0,0
99,2.553215,5.617724,3.688662,0.372566,0.721754,0.200000,1,0
100,2.386947,5.537603,3.686569,0.363004,0.834132,0.200000,1,0
101,2.210861,5.524289,3.684345,0.327956,1.315515,0.200000,1,0
102,2.043738,5.602558,3.680554,0.345014,1.067588,0.200000,1,0
103,1.887670,5.707861,3.675087,0.395675,0.483718,0.200000,1,0
104,1.713492,5.769592,3.671874,0.540333,0.000000,0.320000,0,0
105,1.519168,5.782806,3.671100,0.697132,0.000000,0.320000,0,0
106,1.331418,5.753751,3.672436,0.785412,0.000000,0.320000,0,0
107,1.170320,5.660303,3.670691,0.845500,0.000000,0.320000,0,0
108,1.026382,5.525221,3.666743,0.789583,0.000000,0.320000,0,0
109,0.884992,5.383831,3.664776,0.703551,0.000000,0.320000,0,0
110,0.768454,5.232294,3.666627,0.620243,0.000000,0.320000,0,0
111,0.682711,5.068466,3.674112,0.554833,0.000000,0.320000,0,0
112,0.613385,4.901236,3.678838,0.523885,0.000000,0.320000,0,0
113,0.583966,4.722179,3.672608,0.467522,0.130228,0.320000,0,0
114,0.550144,4.543359,3.665553,0.366057,0.797366,0.200000,1,0
115,0.438038,4.413975,3.673927,0.236699,3.081214,0.200000,1,0
116,0.288576,4.325945,3.708164,0.097760,1010223.988891,0.200000,1,0
117,0.190682,4.203493,3.732677,0.078240,1012176.015675,0.200000,1,0
118,0.186692,4.037436,3.710081,0.106106,1009389.404655,0.200000,1,0
119,0.244417,3.866644,3.684436,0.236740,3.080247,0.200000,1,0
120,0.325134,3.701390,3.676756,0.345881,2.932427,0.320000,0,0
121,0.439577,3.549570,3.669327,0.464936,0.151791,0.320000,0,0
122,0.578526,3.408246,3.661479,0.408368,1.036606,0.320000,0,0
123,0.718943,3.267830,3.645615,0.435362,0.515806,0.320000,0,0
124,0.859469,3.127303,3.637046,0.535112,0.000000,0.320000,0,0
125,1.000089,2.986683,3.641442,0.654442,0.000000,0.320000,0,0
126,1.154908,2.880393,3.637158,0.718375,0.000000,0.320000,0,0
127,1.338526,2.843597,3.632988,0.708011,0.000000,0.320000,0,0
128,1.537315,2.842806,3.640286,0.665661,0.000000,0.320000,0,0
129,1.736749,2.842806,3.642089,0.619758,0.000000,0.320000,0,0
130,1.925078,2.815978,3.634494,0.599199,0.000000,0.320000,0,0
131,2.099074,2.754150,3.631414,0.623709,0.000000,0.320000,0,0
132,2.281021,2.710978,3.631486,0.628572,0.000000,0.320000,0,0
133,2.477507,2.702806,3.629646,0.590832,0.000000,0.320000,0,0
134,2.677416,2.702806,3.629001,0.545415,0.000000,0.320000,0,0
135,2.877367,2.702806,3.628349,0.493939,0.004535,0.320000,0,0
136,3.074870,2.696936,3.628144,0.457097,0.227246,0.320000,0,0
137,3.257640,2.656065,3.633087,0.459461,0.202888,0.320000,0,0
138,3.430423,2.591936,3.636896,0.473294,0.088050,0.320000,0,0
139,3.616712,2.560460,3.632090,0.466554,0.138099,0.320000,0,0
140,3.800859,2.523114,3.629091,0.454524,0.255315,0.320000,0,0
141,3.972629,2.455460,3.631922,0.472725,0.091840,0.320000,0,0
142,4.158354,2.422806,3.638323,0.469366,0.115854,0.320000,0,0
143,4.342632,2.389151,3.641368,0.455631,0.243039,0.320000,0,0
144,4.511514,2.320497,3.640345,0.469198,0.117127,0.320000,0,0
145,4.693720,2.284151,3.644703,0.477667,0.061574,0.320000,0,0
146,4.889604,2.287532,3.640301,0.511309,0.000000,0.320000,0,0
147,5.070370,2.332302,3.630539,0.562032,0.000000,0.320000,0,0
148,5.224174,2.443014,3.631631,0.603559,0.000000,0.320000,0,0
149,5.359798,2.586716,3.637466,0.669097,0.000000,0.320000,0,0
150,5.454360,2.747349,3.643532,0.723397,0.000000,0.320000,0,0
151,5.510719,2.923622,3.643717,0.740525,0.000000,0.320000,0,0
152,5.599546,3.086378,3.635874,0.770201,0.000000,0.320000,0,0
153,5.704869,3.242498,3.629783,0.835382,0.000000,0.320000,0,0
154,5.756042,3.421205,3.627909,0.879114,0.000000,0.320000,0,0
155,5.787808,3.607927,3.628385,0.858903,0.000000,0.320000,0,0
156,5.846649,3.783327,3.628833,0.883345,0.000000,0.320000,0,0
157,5.902667,3.959692,3.623557,0.890715,0.000000,0.320000,0,0
158,5.968853,4.131786,3.619198,0.867400,0.000000,0.320000,0,0
159,6.063646,4.283519,3.622193,0.807895,0.000000,0.320000,0,0
160,6.103101,4.429340,3.623627,0.803126,0.000000,0.320000,0,0
161,6.068449,4.594267,3.619572,0.878676,0.000000,0.320000,0,0
162,6.043966,4.783968,3.616904,0.847556,0.000000,0.320000,0,0
163,6.043966,4.983860,3.618254,0.802559,0.000000,0.320000,0,0
164,6.047663,5.182244,3.619293,0.743686,0.000000,0.320000,0,0
165,6.090389,5.364466,3.619385,0.728751,0.000000,0.320000,0,0
166,6.195724,5.520675,3.618559,0.818273,0.000000,0.320000,0,0
167,6.292997,5.679654,3.612905,0.882710,0.000000,0.320000,0,0
168,6.323966,5.864642,3.610362,0.871708,0.000000,0.320000,0,0
169,6.323966,6.061723,3.614294,0.818689,0.000000,0.320000,0,0
170,6.323966,6.259527,3.613259,0.776490,0.000000,0.320000,0,0
171,6.323966,6.457942,3.612875,0.729919,0.000000,0.320000,0,0
172,6.340556,6.650117,3.617066,0.705611,0.000000,0.320000,0,0
173,6.392145,6.828323,3.616799,0.710860,0.000000,0.320000,0,0
174,6.445556,7.005808,3.615701,0.723563,0.000000,0.320000,0,0
175,6.477238,7.192447,3.617704,0.705577,0.000000,0.320000,0,0
176,6.525510,7.372373,3.619617,0.716051,0.000000,0.320000,0,0
177,6.582238,7.548726,3.621747,0.735315,0.000000,0.320000,0,0
178,6.603966,7.739455,3.625731,0.705098,0.000000,0.320000,0,0
179,6.624509,7.930695,3.628622,0.681588,0.000000,0.320000,0,0
180,6.680052,8.107304,3.625670,0.657317,0.000000,0.320000,0,0
181,6.729509,8.286195,3.620323,0.678061,0.000000,0.320000,0,0
182,6.761034,8.472620,3.621014,0.690920,0.000000,0.320000,0,0
183,6.813102,8.650129,3.621866,0.700461,0.000000,0.320000,0,0
184,6.866034,8.826342,3.617914,0.706257,0.000000,0.320000,0,0
185,6.897011,9.011872,3.619164,0.695561,0.000000,0.320000,0,0
186,6.945057,9.191343,3.623702,0.682140,0.000000,0.320000,0,0
187,7.002011,9.367561,3.624306,0.698254,0.000000,0.320000,0,0
188,7.033641,9.554136,3.624401,0.622680,0.000000,0.320000,0,0
189,7.088100,9.730807,3.620606,0.561849,0.000000,0.320000,0,0
190,7.193211,9.886374,3.612899,0.579173,0.000000,0.320000,0,0
191,7.299436,10.041923,3.613181,0.635713,0.000000,0.320000,0,0
192,7.380335,10.208202,3.620036,0.700993,0.000000,0.320000,0,0
193,7.436502,10.384748,3.625119,0.782704,0.000000,0.320000,0,0
194,7.492668,10.561397,3.627608,0.869380,0.000000,0.320000,0,0
195,7.555817,10.735182,3.627838,0.853795,0.000000,0.320000,0,0
196,7.583966,10.923389,3.627564,0.869465,0.000000,0.320000,0,0
197,7.583966,11.123080,3.625951,0.857876,0.000000,0.320000,0,0
198,7.583966,11.322708,3.622685,0.803277,0.000000,0.320000,0,0
199,7.583966,11.522202,3.620958,0.757070,0.000000,0.320000,0,0
200,7.583966,11.721233,3.621007,0.742769,0.000000,0.320000,0,0
201,7.552896,11.907088,3.616869,0.737016,0.000000,0.320000,0,0
202,7.455486,12.065595,3.608370,0.707034,0.000000,0.320000,0,0
203,7.308465,12.183307,3.609509,0.661188,0.000000,0.320000,0,0
204,7.147179,12.274594,3.614892,0.637343,0.000000,0.320000,0,0
205,6.996138,12.390634,3.615447,0.689112,0.000000,0.320000,0,0
206,6.852178,12.524126,3.616791,0.754370,0.000000,0.320000,0,0
207,6.690955,12.614994,3.612987,0.816727,0.000000,0.320000,0,0
208,6.505431,12.646099,3.610606,0.807125,0.000000,0.320000,0,0
209,6.322503,12.684393,3.620773,0.805147,0.000000,0.320000,0,0
210,6.151162,12.751099,3.624890,0.844591,0.000000,0.320000,0,0
211,5.965611,12.782806,3.613001,0.827026,0.000000,0.320000,0,0
212,5.766866,12.782806,3.608019,0.773556,0.000000,0.320000,0,0
213,5.567775,12.782806,3.615787,0.741711,0.000000,0.320000,0,0
214,5.381034,12.813853,3.617632,0.734528,0.000000,0.320000,0,0
215,5.221698,12.911114,3.617242,0.796434,0.000000,0.320000,0,0
216,5.099622,13.011135,3.667565,0.791173,0.000000,0.320000,0,0
217,5.030022,13.041158,3.779415,0.767168,0.000000,0.320000,0,0
218,5.000000,13.032523,3.883702,0.741738,0.000000,0.320000,0,0
