index,x,y,z
0,1.000000,2.500000,0.000000
1,1.002933,2.698855,0.016855
2,0.983527,2.889945,0.019335
3,0.907367,3.058303,0.015236
4,0.780926,3.205846,0.014468
5,0.639659,3.347114,0.015182
6,0.498521,3.488251,0.012465
7,0.379327,3.638220,0.014438
8,0.349177,3.797851,0.016747
9,0.402673,3.960236,0.021543
10,0.440820,4.133433,0.042282
11,0.464977,4.307517,0.048853
12,0.520987,4.472077,0.030659
13,0.569977,4.646719,0.016728
14,0.583966,4.839614,0.013320
15,0.611626,5.027872,0.010729
16,0.702287,5.190254,0.006605
17,0.835732,5.334571,0.008375
18,0.976514,5.475354,0.015926
19,1.117398,5.616238,0.020036
20,1.270541,5.728440,0.023820
21,1.450056,5.776452,0.031266
22,1.646358,5.782806,0.038901
23,1.845327,5.782806,0.040729
24,2.035903,5.761489,0.034902
25,2.212195,5.705172,0.026949
26,2.391528,5.656489,0.020351
27,2.577914,5.660607,0.020666
28,2.729918,5.739041,0.023421
29,2.835434,5.880540,0.023317
30,2.920406,6.044879,0.022530
31,3.000848,6.210938,0.020189
32,3.073074,6.380570,0.019140
33,3.104745,6.567145,0.017713
34,3.141154,6.751148,0.006907
35,3.246004,6.905709,-0.002957
36,3.349596,7.060454,0.006298
37,3.364822,7.233390,0.029481
38,3.327888,7.393592,0.069517
39,3.329243,7.534743,0.135387
40,3.346946,7.675992,0.217728
41,3.326047,7.815180,0.304494
42,3.336630,7.943930,0.394584
43,3.411743,8.069359,0.478386
44,3.453461,8.199855,0.531956
45,3.459413,8.327030,0.584862
46,3.496257,8.457252,0.677663
47,3.536500,8.609652,0.774010
48,3.584204,8.766011,0.851997
49,3.655825,8.911287,0.929861
50,3.727446,9.053396,1.014650
51,3.783206,9.202719,1.105622
52,3.803966,9.367325,1.198431
53,3.828351,9.524405,1.300708
54,3.887735,9.668956,1.402959
55,3.961708,9.816170,1.493060
56,4.055409,9.949560,1.591163
57,4.161566,10.060406,1.713967
58,4.263220,10.162060,1.852295
59,4.373829,10.272669,1.953733
60,4.504768,10.403097,1.985212
61,4.655381,10.497749,1.980317
