index,x,y,z
0,1.000000,2.500000,0.000000
1,1.003966,2.702806,0.024551
2,1.003966,2.842806,0.019623
3,1.003966,2.982806,0.018951
4,0.863966,3.122806,0.011482
5,0.723966,3.262806,0.013031
6,0.583966,3.402806,0.022064
7,0.443966,3.542806,0.004547
8,0.303966,3.682806,0.011147
9,0.303966,3.822806,0.031586
10,0.443966,3.962806,-0.002983
11,0.443966,4.102806,0.044373
12,0.443966,4.242806,0.099121
13,0.443966,4.382806,0.013504
14,0.583966,4.522806,0.037354
15,0.583966,4.662806,0.006672
16,0.583966,4.802806,0.016571
17,0.583966,4.942806,0.013954
18,0.583966,5.082806,0.008080
19,0.723966,5.222806,0.006992
20,0.863966,5.362806,0.000844
21,1.003966,5.502806,0.027359
22,1.143966,5.642806,0.015015
23,1.283966,5.782806,0.025116
24,1.423966,5.782806,0.032776
25,1.563966,5.782806,0.024399
26,1.703966,5.782806,0.049377
27,1.843966,5.782806,0.046234
28,1.983966,5.782806,0.032074
29,2.123966,5.782806,0.031067
30,2.263966,5.642806,0.029694
31,2.403966,5.642806,0.013603
32,2.543966,5.642806,0.015076
33,2.683966,5.642806,0.030991
34,2.823966,5.782806,0.023941
35,2.823966,5.922806,0.017319
36,2.963966,6.062806,0.029968
37,2.963966,6.202806,0.014626
38,3.103966,6.342806,0.023529
39,3.103966,6.482806,0.013489
40,3.103966,6.622806,0.019989
41,3.103966,6.762806,0.015038
42,3.243966,6.902806,-0.018875
43,3.383966,7.042806,0.010063
44,3.383966,7.182806,0.031647
45,3.383966,7.322806,0.010368
46,3.243966,7.462806,0.105896
47,3.383966,7.602806,0.155884
48,3.383966,7.742806,0.274170
49,3.243966,7.882806,0.329346
50,3.383966,8.022806,0.468262
51,3.523966,8.162806,0.544434
52,3.383966,8.302806,0.523926
53,3.523966,8.442806,0.684570
54,3.523966,8.582806,0.782227
55,3.523966,8.722806,0.791504
56,3.663966,8.862806,0.936035
57,3.663966,9.002806,0.937988
58,3.803966,9.142806,1.096680
59,3.803966,9.282806,1.159180
60,3.803966,9.422806,1.200195
61,3.803966,9.562806,1.334961
62,3.943966,9.702806,1.439453
63,3.943966,9.842806,1.500000
64,4.083966,9.982806,1.599609
65,4.223966,10.122806,1.797852
66,4.363966,10.262806,1.993164
67,4.503966,10.402806,1.976562
68,4.643966,10.542806,1.995117
69,4.783966,10.542806,1.961914
70,4.923966,10.402806,1.939453
71,5.063966,10.262806,2.117187
